csv_file,source_id,last_reviewed,review_frequency,adjusted_to_year,methodology_note
diaper_usage_by_month.csv,aap-newborn-care,2026-05-08,annual,2026,"Per-day diaper usage tapering from ~11/day newborn to ~6/day at 12 months. AAP-aligned."
diaper_cost_per_unit.csv,retail-q1-2026,2026-04-30,quarterly,2026,"Retail snapshot Q1 2026 across budget/mainstream/premium tiers."
wipes_cost.csv,retail-q1-2026,2026-04-30,quarterly,2026,"Retail snapshot Q1 2026."
cloth_diapers.csv,retail-q1-2026,2026-04-30,annual,2026,"Cloth diaper upfront kit + weekly washing power/water estimates."
formula_cost_per_month.csv,retail-q1-2026,2026-04-30,quarterly,2026,"Standard powder vs sensitive vs hypoallergenic vs ready-to-feed retail tiers."
breastfeeding_supplies.csv,retail-q1-2026,2026-04-30,quarterly,2026,"Pump accessories, storage, lactation support."
feeding_factors.csv,aap-newborn-care,2026-05-08,annual,2026,"Combo-feeding multiplier, wipes-per-change, unsure-feeding fallback shares."
gear.csv,retail-q1-2026,2026-04-30,quarterly,2026,"Retail tier pricing for 20 nursery + travel + sleep items; metadata flags from AAP/CPSC guidance."
clothing_first_year.csv,retail-q1-2026,2026-04-30,annual,2026,"First-year clothing spend by tier with hand-me-down/gift offsets."
registry_coverage.csv,retail-q1-2026,2026-04-30,annual,2026,"Approximate fraction of gear typically covered by registry gifts."
birth_oop_ranges.csv,kff-pregnancy-costs,2026-05-08,annual,2026,"Per-row source_id; see file. Employer rows anchored to Peterson-KFF averages."
newborn_medical_oop.csv,kff-pregnancy-costs-2024,2026-05-08,annual,2026,"First-year newborn well-baby + vaccine OOP. Excludes NICU."
birth_billed_anchors.csv,kff-pregnancy-costs,2026-05-08,annual,2026,"Peterson-KFF billed averages used to back-solve user-entered deductible/coinsurance scenarios."
birth_newborn_deductible_addons.csv,kff-pregnancy-costs,2026-05-08,annual,2026,"Add-on cost when newborn is treated as a separate covered person with own deductible."
misc_monthly.csv,retail-q1-2026,2026-04-30,annual,2026,"Toiletries, medicine, photos, classes — small per-month categories."
state_childcare.csv,ccaoa-price-landscape,2026-04-30,annual,2026,"All 50 states + DC. 2023 CCAOA market rate surveys, directional 2026-dollar adjustment."
childcare_care_type_factors.csv,ccaoa-price-landscape,2026-04-30,annual,2026,"Multipliers applied to state baselines for nanny / nanny-share / part-time / unsure."
presets.csv,retail-q1-2026,2026-04-30,annual,2026,"Hand-curated scenario presets for the main calculator UI."
state_leave.csv,state-pfml-portals,2026-05-19,annual,2026,"Per-row source_url + source_id to the official state program portal. 2026 max-benefit caps, tier columns, and Maryland delay applied. Programs change annually."
source_registry.csv,,2026-05-18,quarterly,,"Self — this is the registry that other CSVs reference."
data_manifest.csv,,2026-05-18,quarterly,,"Self — this manifest catalogs every data CSV."
